exp	description	val_bpb	peak_mem_gb	tok_sec	mfu	steps	status	notes	gpu_name	baseline_sha	watts	joules_per_token	total_energy_joules
exp0	baseline (no modifications)	1.090071	5.9	299333	17.0	2742	baseline	depth=8, NVIDIA GeForce RTX 5090	NVIDIA GeForce RTX 5090	7ebf27bd1d057c0c1e53ec90103f52734c8c7da6	464.8	0.001552	139475.3
exp1	Decrease DEVICE_BATCH_SIZE to increase gradient steps within time budget	0.000000	0.0	0	0.0	0	crash	training crashed or timed out	NVIDIA GeForce RTX 5090	7ebf27bd1d057c0c1e53ec90103f52734c8c7da6	0.0	0.000000	0.0
exp2	Decrease ASPECT_RATIO from 64 to 48	1.092992	4.5	426333	15.3	3903	discard	Reducing ASPECT_RATIO decreases the model's width, which will lower memory usage	NVIDIA GeForce RTX 5090	7ebf27bd1d057c0c1e53ec90103f52734c8c7da6	465.6	0.001092	139670.7
exp3	Decrease TOTAL_BATCH_SIZE to increase the number of gradient steps within the fixed time budget.	0.000000	0.0	0	0.0	0	crash	training crashed or timed out	NVIDIA GeForce RTX 5090	7ebf27bd1d057c0c1e53ec90103f52734c8c7da6	0.0	0.000000	0.0
exp4	Decrease WEIGHT_DECAY from 0.2 to 0.1	1.084282	5.9	299233	17.0	2740	keep	The current weight decay may be slightly too strong, potentially hindering the m	NVIDIA GeForce RTX 5090	7ebf27bd1d057c0c1e53ec90103f52734c8c7da6	468.5	0.001566	140588.7
exp5	Decrease HEAD_DIM from 128 to 96	1.095910	6.6	235254	16.2	2155	discard	Lowering the attention head dimension reduces memory use per forward/backward pa	NVIDIA GeForce RTX 5090	7ebf27bd1d057c0c1e53ec90103f52734c8c7da6	492.6	0.002093	147829.0
exp6	Increase WARMDOWN_RATIO from 0.5 to 0.7	1.082368	5.9	298900	17.0	2736	keep	With the fixed 5-minute training budget, more gradual learning rate reduction (w	NVIDIA GeForce RTX 5090	7ebf27bd1d057c0c1e53ec90103f52734c8c7da6	471.1	0.001577	141343.2
exp7	Increase WARMDOWN_RATIO from 0.7 to 0.9	1.082649	5.9	298900	17.0	2736	discard	Since aggressively annealing the learning rate over a longer period (higher WARM	NVIDIA GeForce RTX 5090	7ebf27bd1d057c0c1e53ec90103f52734c8c7da6	472.7	0.001582	141849.1
exp8	Decrease DEVICE_BATCH_SIZE to the next lower valid value to increase the number of gradient steps within the time budget.	0.000000	0.0	0	0.0	0	crash	training crashed or timed out	NVIDIA GeForce RTX 5090	7ebf27bd1d057c0c1e53ec90103f52734c8c7da6	0.0	0.000000	0.0
exp9	Decrease SCALAR_LR from 0.5 to 0.3	1.080622	5.9	299000	17.0	2736	keep	The scalar parameters, when trained with a high learning rate, can cause instabi	NVIDIA GeForce RTX 5090	7ebf27bd1d057c0c1e53ec90103f52734c8c7da6	468.8	0.001569	140641.9
exp10	Increase MATRIX_LR from 0.04 to 0.06	1.085142	5.9	299233	17.0	2739	discard	MATRIX_LR controls the learning rate for the main matrix parameters trained with	NVIDIA GeForce RTX 5090	7ebf27bd1d057c0c1e53ec90103f52734c8c7da6	468.3	0.001566	140525.9
exp11	Increase FINAL_LR_FRAC from 0.0 to 0.05	1.079985	5.9	298900	17.0	2738	keep	Currently, the learning rate decays all the way to zero, which could lead to unn	NVIDIA GeForce RTX 5090	7ebf27bd1d057c0c1e53ec90103f52734c8c7da6	471.5	0.001577	141482.0
exp12	Decrease DEVICE_BATCH_SIZE to the next lower safe value to increase gradient steps within the time budget.	0.000000	0.0	0	0.0	0	crash	training crashed or timed out	NVIDIA GeForce RTX 5090	7ebf27bd1d057c0c1e53ec90103f52734c8c7da6	0.0	0.000000	0.0
exp13	Decrease ASPECT_RATIO from 64 to 56	1.080142	5.9	299333	17.0	2739	discard	Reducing the ASPECT_RATIO decreases the model width, lowering the number of para	NVIDIA GeForce RTX 5090	7ebf27bd1d057c0c1e53ec90103f52734c8c7da6	467.8	0.001564	140365.6
exp14	Decrease UNEMBEDDING_LR from 0.004 to 0.002	1.083263	5.9	299000	17.0	2737	discard	Reducing the learning rate for the output (lm_head) may lead to more stable and 	NVIDIA GeForce RTX 5090	7ebf27bd1d057c0c1e53ec90103f52734c8c7da6	470.4	0.001573	141113.4
exp15	Decrease EMBEDDING_LR from 0.6 to 0.4	1.081539	5.9	298900	17.0	2738	discard	The embedding learning rate is currently quite high; reducing it may help stabil	NVIDIA GeForce RTX 5090	7ebf27bd1d057c0c1e53ec90103f52734c8c7da6	470.1	0.001572	141079.7
exp16	Decrease WEIGHT_DECAY from 0.1 to 0.05	1.079037	5.9	299233	17.0	2739	keep	The recent reduction of weight decay from 0.2 to 0.1 improved val_bpb, suggestin	NVIDIA GeForce RTX 5090	7ebf27bd1d057c0c1e53ec90103f52734c8c7da6	469.2	0.001569	140811.0
exp17	Increase FINAL_LR_FRAC from 0.05 to 0.10	1.080087	5.9	299000	17.0	2737	discard	Increasing FINAL_LR_FRAC further allows the learning rate to remain higher towar	NVIDIA GeForce RTX 5090	7ebf27bd1d057c0c1e53ec90103f52734c8c7da6	470.3	0.001573	141078.2
exp18	Decrease HEAD_DIM from 128 to 112	1.087274	6.5	252915	16.6	2316	discard	Previous decrease of HEAD_DIM to 96 (exp5) resulted in a performance drop and wa	NVIDIA GeForce RTX 5090	7ebf27bd1d057c0c1e53ec90103f52734c8c7da6	511.9	0.002024	153628.2
exp19	Decrease MATRIX_LR from 0.04 to 0.03	1.079483	5.9	299000	17.0	2737	discard	Lowering the matrix learning rate might help stabilize training and improve conv	NVIDIA GeForce RTX 5090	7ebf27bd1d057c0c1e53ec90103f52734c8c7da6	468.2	0.001566	140474.5
exp20	Decrease SCALAR_LR from 0.3 to 0.2	1.080164	5.9	298900	17.0	2736	discard	Recent results suggest that lower values for SCALAR_LR improve val_bpb (see exp9	NVIDIA GeForce RTX 5090	7ebf27bd1d057c0c1e53ec90103f52734c8c7da6	468.7	0.001569	140654.8
exp21	Increase EMBEDDING_LR from 0.6 to 0.8	1.080428	5.9	299233	17.0	2739	discard	The EMBEDDING_LR was reduced in exp15, which resulted in a slight degradation of	NVIDIA GeForce RTX 5090	7ebf27bd1d057c0c1e53ec90103f52734c8c7da6	466.5	0.001560	139980.8
exp22	Increase WARMUP_RATIO from 0.0 to 0.02	1.080162	5.9	298900	17.0	2737	discard	Currently, there is no learning rate warmup, which may cause instability during 	NVIDIA GeForce RTX 5090	7ebf27bd1d057c0c1e53ec90103f52734c8c7da6	468.2	0.001566	140474.9
exp23	Increase MLP_RATIO from the default (implicit) value to 4.0	1.079348	5.9	299000	17.0	2736	discard	Increasing the MLP_RATIO (width of the feedforward layers in the transformer blo	NVIDIA GeForce RTX 5090	7ebf27bd1d057c0c1e53ec90103f52734c8c7da6	469.1	0.001570	140758.7
exp24	Increase WARMDOWN_RATIO from 0.7 to 0.8	1.079395	5.9	299233	17.0	2739	discard	Previous increases in WARMDOWN_RATIO (exp6 and exp7) showed that extending the w	NVIDIA GeForce RTX 5090	7ebf27bd1d057c0c1e53ec90103f52734c8c7da6	469.7	0.001570	140946.6
exp25	Increase DEPTH by 1 (from default to default + 1)	1.084272	8.2	219593	20.4	2011	discard	Most previous modifications have not changed the model size, and batch size redu	NVIDIA GeForce RTX 5090	7ebf27bd1d057c0c1e53ec90103f52734c8c7da6	487.1	0.002218	146186.0
exp26	Decrease MATRIX_LR from 0.04 to 0.035	1.079412	5.9	298900	17.0	2738	discard	In previous runs, lowering MATRIX_LR to 0.03 impaired performance, but 0.04 was 	NVIDIA GeForce RTX 5090	7ebf27bd1d057c0c1e53ec90103f52734c8c7da6	467.6	0.001564	140320.2
exp27	Decrease SCALAR_LR from 0.3 to 0.25	1.080040	5.9	298900	17.0	2736	discard	Recent experiments show that lowering SCALAR_LR from 0.5 to 0.3 reduced val_bpb,	NVIDIA GeForce RTX 5090	7ebf27bd1d057c0c1e53ec90103f52734c8c7da6	468.3	0.001568	140533.6
exp28	Increase EMBEDDING_LR from 0.6 to 0.8	1.080326	5.9	298233	16.9	2731	discard	Lowering EMBEDDING_LR in a previous trial (exp15) degraded performance, while in	NVIDIA GeForce RTX 5090	7ebf27bd1d057c0c1e53ec90103f52734c8c7da6	468.6	0.001571	140628.1
exp29	Increase UNEMBEDDING_LR from 0.004 to 0.006	1.079569	5.9	298900	17.0	2737	discard	The learning rate for the UNEMBEDDING_LR parameter is quite conservative and has	NVIDIA GeForce RTX 5090	7ebf27bd1d057c0c1e53ec90103f52734c8c7da6	469.7	0.001572	140953.5
